lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
103	1	2022.0385998922625	2022.019086370311	nonENG	2022.0465753424655	2022.0465753424655
104	1	2022.021917808219	2021.983216804637	nonENG	2022.021917808219	2022.021917808219
105	1	2022.0602739726028	2021.974843458261	nonENG+ENG	2022.0602739726028	2022.0602739726028
106	1	2022.0712328767124	2022.0377959928371	nonENG	2022.0712328767124	2022.0712328767124
107	1	2022.035616438356	2021.9930290508923	nonENG	2022.035616438356	2022.035616438356
108	1	2021.980167964845	2021.9787166176825	nonENG	2022.035616438356	2022.035616438356
109	1	2021.964343710539	2021.9537221074368	nonENG	2021.975342465753	2021.975342465753
110	3	2021.9917226318544	2021.9889724006089	nonENG	2022.027397260274	2022.0794520547945
111	1	2022.041095890411	2021.9753362858944	nonENG	2022.041095890411	2022.041095890411
112	1	2022.07397260274	2021.9825543792329	nonENG	2022.07397260274	2022.07397260274
113	1	2022.0712328767124	2021.9680487923467	nonENG	2022.0712328767124	2022.0712328767124
114	1	2022.06301369863	2021.98113773898	nonENG	2022.06301369863	2022.06301369863
115	1	2021.9650775539703	2021.947162452877	nonENG	2021.9972602739729	2021.9972602739729
116	2	2022.003804635615	2021.9461535245448	nonENG	2022.0520547945205	2022.0602739726028
117	1	2021.954365632352	2021.9483140254408	nonENG	2021.9671232876717	2021.9671232876717
118	1	2022.049315068493	2021.9918801820625	nonENG	2022.049315068493	2022.049315068493
119	1	2022.0684931506848	2022.001211964004	nonENG	2022.0684931506848	2022.0684931506848
120	1	2022.0520547945205	2021.99298773933	nonENG	2022.0520547945205	2022.0520547945205
121	3	2021.952796682118	2021.9482479427784	nonENG	2021.9561643835616	2022.0684931506848
122	1	2022.0794520547945	2022.002946579689	nonENG	2022.0794520547945	2022.0794520547945
123	2	2021.971540117852	2021.96643580058	nonENG	2021.986301369863	2022.019178082192
124	1	2022.0383561643837	2022.0160669173204	nonENG+ENG	2022.0383561643837	2022.0383561643837
125	2	2022.0142252370613	2021.9699543354648	nonENG	2022.0328767123287	2022.049315068493
126	2	2021.9961936618165	2021.958408310044	nonENG	2022.0575342465756	2022.0794520547945
127	4	2022.0006932371937	2021.98145265952	nonENG	2022.013698630137	2022.0602739726028
128	5	2021.997836893488	2021.978384618837	nonENG	2022.0082191780823	2022.06301369863
129	1	2022.024657534247	2021.9506414920595	nonENG	2022.024657534247	2022.024657534247
