code,0_4,5_11,12_15,16_17,18_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_999,total
E08000032,37964,57662,32129,14864,46281,33210,36174,37785,34504,34974,33962,32135,28670,23841,21748,14113,11324,7012,3776,542128
E08000033,11655,18887,10504,4905,14888,12325,12794,13129,13088,14502,15876,15447,13216,11206,11326,7731,5187,3029,1744,211439
E08000034,26020,40824,22541,10635,36587,27501,28441,28603,27177,29223,31214,28680,24850,21592,21849,14986,10826,6125,3616,441290
E08000035,48733,70213,35474,16161,103579,69664,54378,52024,46160,46317,47988,45933,38378,33075,33455,23032,17942,10843,5437,798786
E08000036,21103,30347,16084,7452,23959,23116,24381,23259,20050,22975,25906,24586,21413,18337,18483,13190,8947,5142,2862,351592
E06000015,15795,24555,13251,6090,25071,18072,18168,16702,15098,15784,16949,15944,12974,10825,10909,8046,6208,4001,2372,256814
E06000016,23697,34304,17871,8197,51161,31848,26023,23849,20801,19325,18687,18428,16243,13624,11047,7274,5727,3657,2273,354036
E06000018,19700,28250,14667,6668,68402,32935,23986,20153,17669,17262,17849,16679,13753,11550,10124,6755,5238,3378,2080,337098
E06000017,1776,2818,2084,1172,2218,2183,2076,2190,2338,2608,3004,2984,2680,2535,2846,2096,1418,881,569,40476
E07000032,6259,9800,5525,2604,8489,7748,7298,7426,7337,8905,10173,9901,8517,7698,8276,5778,3653,2098,1344,128829
E07000033,4295,6437,3638,1677,5830,5140,5105,5027,4524,5492,6572,5939,5212,4538,4492,3424,2098,1214,651,81305
E07000034,5194,8122,4493,2065,7424,6783,6441,6362,5911,7019,8069,7719,6817,6042,6129,4426,3025,1823,1066,104930
E07000035,2666,4859,3134,1602,4211,3294,3192,3212,3565,4827,6072,6259,5603,5265,5555,3968,2671,1603,864,72422
E07000036,5768,9552,5172,2458,7855,7197,7624,6835,6604,7901,9019,8674,6864,6104,6381,4664,3344,2118,1198,115332
E07000037,4464,6992,4160,1980,6067,5341,5354,5384,5067,6246,7472,7623,6510,5581,5650,3906,2517,1491,828,92633
E07000038,4719,7641,4332,2034,6503,5779,5618,5481,5463,6692,7719,7721,7116,6557,7024,5380,3533,1978,926,102216
E07000039,5955,9241,5362,2557,7498,6768,7319,7242,6833,7846,8591,7838,6378,5760,5680,3888,2457,1506,797,109516
E07000129,5642,8728,5026,2301,6600,5690,6776,6712,6166,6779,7382,7275,6076,5317,5717,4130,2930,1761,942,101950
E07000130,9554,14524,7886,4012,24831,14517,11143,11652,10287,11375,12279,11953,10221,9335,9154,6676,4568,2830,1619,188416
E07000131,4619,7910,4832,2315,5671,4804,4998,5229,5771,7007,7772,7460,6151,5443,5854,4123,2900,1708,970,95537
E07000132,5815,9251,5173,2463,7091,6539,6779,6815,6741,7723,8634,8299,7177,6702,7117,5022,3333,1871,1121,113666
E07000133,2438,4111,2361,1137,3169,2562,2570,2712,2774,3374,4310,4288,3539,3358,3329,2324,1554,949,535,51394
E07000134,5565,8568,4859,2432,7262,6066,6416,6457,6177,7663,8196,7667,6372,5791,6114,4200,2634,1461,909,104809
E07000135,2880,4903,2762,1276,5680,3187,2886,3481,3203,3539,3835,3961,3346,2959,2997,2370,1892,1295,861,57313
E07000136,4089,6507,3092,1347,4849,4423,4838,4741,4065,4320,4640,4788,4291,4006,4033,2896,1985,1216,711,70837
E07000137,6010,9909,5691,2729,7849,6222,6627,6256,6146,8146,10045,11633,11608,11458,12370,8802,5600,3216,1713,142030
E07000138,5310,7470,3690,1737,19772,7873,6589,6087,5053,5105,5509,5819,4719,4156,4027,2777,2066,1388,902,100049
