lineage	ntaxa	tmrca	ptmrca	source	first_seen	last_seen
58	1	2021.9534246575345	2021.9530784145763	nonENG	2021.9534246575345	2021.9534246575345
59	2	2021.966067669432	2021.964235377303	nonENG	2021.975342465753	2021.9890410958903
60	1	2021.9917808219177	2021.958971327169	nonENG	2021.9917808219177	2021.9917808219177
61	4	2022.015591564513	2021.999011541659	nonENG	2022.0164383561644	2022.0520547945205
62	1	2022.0438356164384	2021.9718772639253	nonENG	2022.0438356164384	2022.0438356164384
63	2	2022.000714132804	2021.948222527261	nonENG	2022.0109589041097	2022.035616438356
64	1	2022.0301369863012	2021.972778514444	nonENG	2022.0301369863012	2022.0301369863012
65	1	2021.9534246575345	2021.9290222075315	nonENG	2021.9534246575345	2021.9534246575345
66	1	2021.928767123288	2021.9266788521927	nonENG	2021.928767123288	2021.928767123288
67	1	2022.0082191780823	2021.9493677977464	nonENG	2022.0082191780823	2022.0082191780823
68	1	2022.0301369863012	2021.96894251045	nonENG	2022.0301369863012	2022.0301369863012
69	1	2022.0575342465756	2022.0033530168807	nonENG	2022.0575342465756	2022.0575342465756
70	1	2022.019178082192	2022.0085883989252	nonENG	2022.019178082192	2022.019178082192
71	1	2022.0821917808216	2022.00055580182	nonENG	2022.0821917808216	2022.0821917808216
72	1	2022.049315068493	2022.031509276828	nonENG	2022.049315068493	2022.049315068493
73	1	2022.035616438356	2021.9863451745089	nonENG	2022.035616438356	2022.035616438356
74	3	2022.0097298121168	2021.988803671053	nonENG	2022.041095890411	2022.07397260274
75	1	2022.0301369863012	2021.9830751876384	nonENG	2022.0301369863012	2022.0301369863012
76	1	2022.0602739726028	2022.001558410671	nonENG	2022.0602739726028	2022.0602739726028
77	12	2021.9496978775587	2021.948545034781	nonENG	2021.9616438356163	2022.0821917808216
78	1	2022.021917808219	2021.9671136196057	nonENG	2022.021917808219	2022.021917808219
79	1	2022.035616438356	2022.008571932841	nonENG	2022.035616438356	2022.035616438356
80	1	2022.027397260274	2022.0094094513413	nonENG	2022.027397260274	2022.027397260274
81	2	2022.0064152248133	2021.986521029904	nonENG	2022.0164383561644	2022.0383561643837
82	1	2022.0520547945205	2021.9850778872644	nonENG	2022.0520547945205	2022.0520547945205
83	1	2022.0794520547945	2022.0105819501168	nonENG	2022.0794520547945	2022.0794520547945
84	1	2022.049315068493	2022.045657280087	nonENG	2022.049315068493	2022.049315068493
85	1	2022.035616438356	2022.0059241545555	nonENG	2022.035616438356	2022.035616438356
86	1	2022.0109589041097	2022.00259007942	nonENG+ENG	2022.0109589041097	2022.0109589041097
87	3	2022.00170856266	2021.9988248285608	nonENG	2022.035616438356	2022.06301369863
88	1	2022.0821917808216	2022.011675981091	nonENG	2022.0821917808216	2022.0821917808216
89	1	2022.07397260274	2022.065816384414	nonENG	2022.07397260274	2022.07397260274
90	1	2022.0684931506848	2022.00645993892	nonENG	2022.0684931506848	2022.0684931506848
91	2	2021.977518490599	2021.9579984085951	nonENG	2022.0027397260276	2022.035616438356
92	4	2021.9898641690784	2021.948201495173	nonENG	2022.0109589041097	2022.035616438356
93	2	2022.0124113490929	2021.9760661029013	nonENG	2022.0383561643837	2022.0657534246573
94	1	2022.0767123287671	2022.0173385264115	nonENG	2022.0767123287671	2022.0767123287671
95	1	2022.0821917808216	2022.0157416606116	nonENG	2022.0821917808216	2022.0821917808216
96	1	2022.0027397260276	2021.9799254838645	nonENG	2022.0027397260276	2022.0027397260276
97	1	2021.986301369863	2021.9851215156289	nonENG	2021.986301369863	2021.986301369863
98	1	2022.049315068493	2021.9910420937963	nonENG	2022.049315068493	2022.049315068493
99	4	2022.0224653779796	2021.9850911542376	nonENG	2022.041095890411	2022.0821917808216
100	1	2022.06301369863	2022.0114404737676	nonENG	2022.06301369863	2022.06301369863
101	3	2021.999591390464	2021.9847851143156	nonENG	2022.021917808219	2022.0821917808216
102	1	2022.0821917808216	2022.0592141555971	nonENG	2022.0821917808216	2022.0821917808216
103	1	2022.0054794520547	2022.000995899532	nonENG	2022.0054794520547	2022.0054794520547
104	2	2022.0553440434849	2022.0429710894907	nonENG	2022.0657534246573	2022.07397260274
