airport,state
Kearney Municipal Airport,Nebraska
Rhinelander-Oneida County Airport,Wisconsin
Bishop Airport,California
Long Island Mac Arthur Airport,New York
Lynchburg Regional Airport,Virginia
Stillwater Regional Airport,Oklahoma
Delta County Airport,Michigan
Dubuque Regional Airport,Iowa
North Central West Virginia Airport,West Virginia
Florence Regional Airport,South Carolina
Yakima Air Terminal Airport,Washington
Sitka Rocky Gutierrez Airport,Alaska
Garden City Regional Airport,Kansas
Key Field,Mississippi
Texarkana Regional Airport,Arkansas
Casper-Natrona County International Airport,Wyoming
Rutland - Southern Vermont Regional Airport,Vermont
Bismarck Municipal Airport,North Dakota
Arcata-Eureka Airport,California
Houghton County Memorial Airport,Michigan
Central Nebraska Regional Airport,Nebraska
Greater Binghamton Airport,New York
Pangborn Field,Washington
Chippewa County International Airport,Michigan
Tri-State Airport,West Virginia
Muskegon County Airport,Michigan
Morgantown Municipal Airport,West Virginia
Waynesville-St. Robert Regional Airport,Missouri
Adirondack Regional Airport,New York
Liberal Mid-America Regional Airport,Kansas
Barkley Regional Airport,Kentucky
Hancock County-Bar Harbor Airport,Maine
Salisbury-Ocean City-Wicomico Regional Airport,Maryland
Riverton Regional Airport,Wyoming
Ketchikan International Airport,Alaska
Dodge City Regional Airport,Kansas
Rock Springs-Sweetwater County Airport,Wyoming
Salina Municipal Airport,Kansas
Santa Maria Airport,California
Walla Walla Regional Airport,Washington
Northern Maine Regional Airport at Presque Isle,Maine
North Platte Regional Airport Lee Bird Field,Nebraska
Pitt-Greenville Airport,North Carolina
Gillette-Campbell County Airport,Wyoming
McClellan-Palomar Airport,California
Cedar City Regional Airport,Utah
Orlando Sanford International Airport,Florida
Fort Dodge Municipal Airport,Iowa
Williamson County Regional Airport,Illinois
Joplin Regional Airport,Missouri
Chico Municipal Airport,California
Stewart International Airport,New York
Mammoth Lakes Airport,California
Bert Mooney Airport,Montana
San Luis Valley Regional Airport,Colorado
Bemidji-Beltrami County Airport,Minnesota
Greenbrier Valley Airport,West Virginia
Watertown International Airport,New York
Williston Basin International Airport,North Dakota
Plattsburgh Air Force Base,New York
Ford Airport,Michigan
Decatur Airport,Illinois
Snohomish County Airport (Paine Field),Washington
Williamsport-Lycoming County Airport,Pennsylvania
Twin Falls Airport,Idaho
Tweed-New Haven Airport,Connecticut
Laramie Regional Airport,Wyoming
Phoenix-Mesa Gateway Airport,Arizona
Sheridan County Airport,Wyoming
Johnstown-Cambria County Airport,Pennsylvania
Hays Municipal Airport,Kansas
Lancaster Airport,Pennsylvania
Knox County Regional Airport,Maine
Martha's Vineyard Airport,Massachusetts
Canyonlands Field,Utah
Western Nebraska Regional Airport,Nebraska
