origin,peak_LL.date,peak_UL.date,peak_mid.date,relative_to_dec,relative_to_christmas
E07000041,2021-12-30,2022-01-07,2022-01-03,33,after
E07000061,2021-12-31,2022-01-06,2022-01-03,33,after
E07000081,2021-12-31,2022-01-06,2022-01-03,33,after
E07000122,2021-12-31,2022-01-06,2022-01-03,33,after
E07000123,2021-12-31,2022-01-06,2022-01-03,33,after
E07000154,2021-12-30,2022-01-07,2022-01-03,33,after
E07000164,2021-12-31,2022-01-06,2022-01-03,33,after
E07000165,2021-12-30,2022-01-07,2022-01-03,33,after
E07000166,2021-12-31,2022-01-06,2022-01-03,33,after
E07000188,2021-12-31,2022-01-06,2022-01-03,33,after
E07000195,2021-12-30,2022-01-07,2022-01-03,33,after
E07000235,2021-12-30,2022-01-07,2022-01-03,33,after
E07000246,2021-12-30,2022-01-07,2022-01-03,33,after
E08000017,2021-12-31,2022-01-06,2022-01-03,33,after
E08000022,2021-12-31,2022-01-06,2022-01-03,33,after
E08000025,2021-12-30,2022-01-07,2022-01-03,33,after
E08000026,2021-12-30,2022-01-07,2022-01-03,33,after
E08000028,2021-12-30,2022-01-07,2022-01-03,33,after
E08000030,2021-12-30,2022-01-07,2022-01-03,33,after
E08000034,2021-12-31,2022-01-06,2022-01-03,33,after
E08000036,2021-12-31,2022-01-06,2022-01-03,33,after
E06000003,2022-01-01,2022-01-06,2022-01-03,33.5,after
E06000021,2021-12-31,2022-01-07,2022-01-03,33.5,after
E06000027,2021-12-31,2022-01-07,2022-01-03,33.5,after
E06000039,2021-12-31,2022-01-07,2022-01-03,33.5,after
E06000046,2021-12-31,2022-01-07,2022-01-03,33.5,after
E07000150,2021-12-31,2022-01-07,2022-01-03,33.5,after
E07000168,2022-01-01,2022-01-06,2022-01-03,33.5,after
E07000239,2022-01-01,2022-01-06,2022-01-03,33.5,after
E08000037,2021-12-31,2022-01-07,2022-01-03,33.5,after
E06000001,2022-01-01,2022-01-07,2022-01-04,34,after
E06000002,2022-01-01,2022-01-07,2022-01-04,34,after
E06000005,2022-01-01,2022-01-07,2022-01-04,34,after
E06000047,2022-01-01,2022-01-07,2022-01-04,34,after
E06000057,2022-01-01,2022-01-07,2022-01-04,34,after
E07000193,2022-01-01,2022-01-07,2022-01-04,34,after
E08000021,2022-01-01,2022-01-07,2022-01-04,34,after
E08000024,2022-01-01,2022-01-07,2022-01-04,34,after
E08000023,2022-01-02,2022-01-07,2022-01-04,34.5,after
E08000032,2022-01-01,2022-01-08,2022-01-04,34.5,after
E06000031,2021-12-29,2022-01-15,2022-01-06,36.5,after
E06000053,2022-01-04,2022-01-10,2022-01-07,37,after
E07000140,2021-12-31,2022-01-15,2022-01-07,37.5,after
