tl	ntaxa	import_est	import_est_date
BA115_485	1	2021.96022282244	2021-12-17
BA115_486	4	2021.94874481236	2021-12-13
BA115_487	1	2022.00845872662	2022-01-04
BA115_488	1	2021.99819435334	2021-12-31
BA115_489	1	2022.05186244976	2022-01-19
BA115_490	1	2022.00161036955	2022-01-01
BA115_491	1	2021.99809528205	2021-12-31
BA115_492	46	2021.93748590377	2021-12-09
BA115_493	4	2021.95324046928	2021-12-14
BA115_494	4	2021.94477037715	2021-12-11
BA115_495	6	2021.98235451626	2021-12-25
BA115_496	1	2021.98975398709	2021-12-28
BA115_497	1	2021.98386741458	2021-12-26
BA115_498	3	2021.97106971295	2021-12-21
BA115_499	1	2022.03603533484	2022-01-14
BA115_500	2	2022.00826912768	2022-01-04
BA115_501	1	2022.05527948937	2022-01-21
BA115_502	1	2022.00949880549	2022-01-04
BA115_503	1	2022.02248104998	2022-01-09
BA115_504	6	2021.95074621823	2021-12-14
BA115_505	2	2021.95020496649	2021-12-13
BA115_506	1	2022.00743698113	2022-01-03
BA115_507	2	2022.01012095447	2022-01-04
BA115_508	1	2022.03399218701	2022-01-13
BA115_509	1	2022.02734733096	2022-01-10
BA115_510	1	2022.00583277372	2022-01-03
BA115_511	1	2022.00294223682	2022-01-02
BA115_512	2	2021.99221545131	2021-12-29
BA115_513	1	2022.03767627781	2022-01-14
BA115_514	1	2022.02596566382	2022-01-10
BA115_515	1	2021.98260620087	2021-12-25
BA115_516	1	2022.00263205375	2022-01-01
BA115_517	1	2021.99025187714	2021-12-28
BA115_518	1	2021.99440305755	2021-12-29
BA115_519	1	2022.06521048274	2022-01-24
BA115_520	1	2022.00766292439	2022-01-03
BA115_521	4	2021.92930722691	2021-12-06
BA115_522	1	2022.01524412766	2022-01-06
BA115_523	4	2021.95326364308	2021-12-14
BA115_524	6	2021.94705085205	2021-12-12
BA115_525	1	2021.96238690001	2021-12-18
BA115_526	1	2022.04339624881	2022-01-16
BA115_527	2	2022.02867814606	2022-01-11
BA115_528	1	2022.0265736594	2022-01-10
BA115_529	2	2022.00274246688	2022-01-02
BA115_530	1	2022.04660550413	2022-01-18
BA115_531	1	2022.01779211628	2022-01-07
BA115_532	1	2022.03343080158	2022-01-13
BA115_533	1	2022.01318658203	2022-01-05
BA115_534	2	2021.98123817155	2021-12-25
BA115_535	1	2022.01983731551	2022-01-08
BA115_537	1	2021.97452349247	2021-12-22
BA115_538	1	2022.01763973481	2022-01-07
BA115_539	1	2022.05077185971	2022-01-19
BA115_540	1	2022.01911924493	2022-01-07
BA115_541	8	2021.94409970836	2021-12-11
BA115_542	2	2021.94567780919	2021-12-12
BA115_543	1	2021.95390852559	2021-12-15
BA115_544	1	2021.96215240068	2021-12-18
BA115_545	1	2022.00225343176	2022-01-01
BA115_546	1	2021.98331730589	2021-12-25
BA115_547	1	2022.03566732283	2022-01-14
BA115_548	1	2022.01149610751	2022-01-05
BA115_549	1	2021.95348706708	2021-12-15
BA115_550	1	2022.00360149084	2022-01-02
BA115_551	2	2021.99835630838	2021-12-31
BA115_552	3	2021.96836697633	2021-12-20
BA115_553	1	2022.0619787535	2022-01-23
BA115_554	2	2022.03198595112	2022-01-12
BA115_555	1	2021.99505357693	2021-12-30
BA115_556	1	2021.98983529615	2021-12-28
BA115_557	1	2022.02444584165	2022-01-09
BA115_558	1	2022.022888957	2022-01-09
